review_id,source_url,lecture_id,course_name,professor,semester,rating,raw_review_text
mock-CSE204-003,https://everytime.kr/lecture/view/mock-CSE204,mock-CSE204,데이터베이스,,25년 2학기 수강자,4,프로젝트가 한 번 있지만 팀플 부담은 크지 않았습니다
mock-CSE204-004,https://everytime.kr/lecture/view/mock-CSE204,mock-CSE204,데이터베이스,,25년 2학기 수강자,3,정규화 파트는 어렵지만 전체적으로 무난한 전공 수업입니다
mock-CSE204-005,https://everytime.kr/lecture/view/mock-CSE204,mock-CSE204,데이터베이스,,25년 1학기 수강자,4,과제는 격주 정도이고 실습만 따라가면 시험 준비가 됩니다
mock-CSE204-006,https://everytime.kr/lecture/view/mock-CSE204,mock-CSE204,데이터베이스,,25년 1학기 수강자,3,개념 암기가 조금 필요하지만 난이도는 중간 정도입니다
mock-CSE204-007,https://everytime.kr/lecture/view/mock-CSE204,mock-CSE204,데이터베이스,,24년 2학기 수강자,5,교수님 설명이 좋아서 처음 듣는 사람도 따라가기 쉽습니다
mock-CSE204-008,https://everytime.kr/lecture/view/mock-CSE204,mock-CSE204,데이터베이스,,24년 2학기 수강자,3,기말 프로젝트가 있어 마지막 주는 조금 바쁩니다
mock-CSE204-009,https://everytime.kr/lecture/view/mock-CSE204,mock-CSE204,데이터베이스,,24년 1학기 수강자,4,시험은 평이하고 과제도 실습 중심이라 부담이 적었습니다
mock-CSE204-010,https://everytime.kr/lecture/view/mock-CSE204,mock-CSE204,데이터베이스,,24년 1학기 수강자,4,데이터 모델링을 꼼꼼히 봐야 하지만 전반적으로 추천합니다
mock-CSE205-001,https://everytime.kr/lecture/view/mock-CSE205,mock-CSE205,컴퓨터구조,,26년 1학기 수강자,3,하드웨어 개념이 낯설면 어렵고 시험 준비 시간이 많이 필요합니다
mock-CSE205-002,https://everytime.kr/lecture/view/mock-CSE205,mock-CSE205,컴퓨터구조,,26년 1학기 수강자,2,파이프라인과 캐시 파트가 헷갈리고 문제도 까다롭습니다
mock-CSE205-003,https://everytime.kr/lecture/view/mock-CSE205,mock-CSE205,컴퓨터구조,,25년 2학기 수강자,4,과제는 많지 않지만 개념 이해가 어려워 복습을 계속 해야 합니다
mock-CSE205-004,https://everytime.kr/lecture/view/mock-CSE205,mock-CSE205,컴퓨터구조,,25년 2학기 수강자,3,암기보다 계산 문제가 많아서 연습 없이는 힘듭니다
mock-CSE205-005,https://everytime.kr/lecture/view/mock-CSE205,mock-CSE205,컴퓨터구조,,25년 1학기 수강자,4,강의는 좋지만 시험 난이도가 높아 만만하게 보면 안 됩니다
mock-CSE205-006,https://everytime.kr/lecture/view/mock-CSE205,mock-CSE205,컴퓨터구조,,25년 1학기 수강자,3,퀴즈가 가끔 있고 수업 전 복습이 필요합니다
mock-CSE205-007,https://everytime.kr/lecture/view/mock-CSE205,mock-CSE205,컴퓨터구조,,24년 2학기 수강자,2,내용이 추상적이고 시험 범위도 넓어서 어려웠습니다
mock-CSE205-008,https://everytime.kr/lecture/view/mock-CSE205,mock-CSE205,컴퓨터구조,,24년 2학기 수강자,4,과제량은 보통인데 시험 대비가 빡센 편입니다
mock-CSE205-009,https://everytime.kr/lecture/view/mock-CSE205,mock-CSE205,컴퓨터구조,,24년 1학기 수강자,3,컴퓨터 내부 구조를 제대로 배우지만 쉬운 강의는 아닙니다
mock-CSE205-010,https://everytime.kr/lecture/view/mock-CSE205,mock-CSE205,컴퓨터구조,,24년 1학기 수강자,3,성적은 공정하지만 점수 받기는 쉽지 않았습니다
mock-CSE206-001,https://everytime.kr/lecture/view/mock-CSE206,mock-CSE206,소프트웨어공학,,26년 1학기 수강자,4,팀프로젝트가 핵심이라 일정 관리가 중요하고 바쁜 수업입니다
mock-CSE206-002,https://everytime.kr/lecture/view/mock-CSE206,mock-CSE206,소프트웨어공학,,26년 1학기 수강자,3,개념 난이도는 보통이지만 발표와 문서 작업이 많습니다
mock-CSE206-003,https://everytime.kr/lecture/view/mock-CSE206,mock-CSE206,소프트웨어공학,,25년 2학기 수강자,4,프로젝트와 보고서가 계속 이어져서 과제량은 많은 편입니다
mock-CSE206-004,https://everytime.kr/lecture/view/mock-CSE206,mock-CSE206,소프트웨어공학,,25년 2학기 수강자,5,팀원만 잘 만나면 재밌고 시험은 어렵지 않습니다
mock-CSE206-005,https://everytime.kr/lecture/view/mock-CSE206,mock-CSE206,소프트웨어공학,,25년 1학기 수강자,3,매주 회의와 산출물이 있어 시간 투자가 필요합니다
mock-CSE206-006,https://everytime.kr/lecture/view/mock-CSE206,mock-CSE206,소프트웨어공학,,25년 1학기 수강자,4,이론은 쉽지만 팀플 비중이 커서 부담이 있습니다
mock-CSE206-007,https://everytime.kr/lecture/view/mock-CSE206,mock-CSE206,소프트웨어공학,,24년 2학기 수강자,4,발표 준비가 많고 기말 전에는 프로젝트가 몰립니다
mock-CSE206-008,https://everytime.kr/lecture/view/mock-CSE206,mock-CSE206,소프트웨어공학,,24년 2학기 수강자,3,시험보다 프로젝트 평가가 중요해서 꾸준히 해야 합니다
mock-CSE206-009,https://everytime.kr/lecture/view/mock-CSE206,mock-CSE206,소프트웨어공학,,24년 1학기 수강자,5,실무 흐름을 배우기 좋지만 개인 시간이 꽤 들어갑니다
mock-CSE206-010,https://everytime.kr/lecture/view/mock-CSE206,mock-CSE206,소프트웨어공학,,24년 1학기 수강자,3,조별 과제가 많아 혼자 조용히 듣기에는 맞지 않습니다
mock-CSE207-001,https://everytime.kr/lecture/view/mock-CSE207,mock-CSE207,인공지능입문,,26년 1학기 수강자,4,수학 배경이 있으면 할만하지만 과제 구현이 조금 빡셉니다
mock-CSE207-002,https://everytime.kr/lecture/view/mock-CSE207,mock-CSE207,인공지능입문,,26년 1학기 수강자,3,개념과 실습을 모두 챙겨야 해서 공부량이 많습니다
mock-CSE207-003,https://everytime.kr/lecture/view/mock-CSE207,mock-CSE207,인공지능입문,,25년 2학기 수강자,4,머신러닝 파트는 재밌지만 과제가 생각보다 어렵습니다
mock-CSE207-004,https://everytime.kr/lecture/view/mock-CSE207,mock-CSE207,인공지능입문,,25년 2학기 수강자,2,수식 설명이 빠르고 시험도 응용 문제가 많았습니다
mock-CSE207-005,https://everytime.kr/lecture/view/mock-CSE207,mock-CSE207,인공지능입문,,25년 1학기 수강자,4,프로젝트는 작지만 매주 실습을 따라가야 합니다
mock-CSE207-006,https://everytime.kr/lecture/view/mock-CSE207,mock-CSE207,인공지능입문,,25년 1학기 수강자,3,난이도는 중상이고 파이썬이 익숙하면 부담이 줄어듭니다
mock-CSE207-007,https://everytime.kr/lecture/view/mock-CSE207,mock-CSE207,인공지능입문,,24년 2학기 수강자,5,설명이 친절해서 처음 듣는 사람도 따라갈 수 있습니다
mock-CSE207-008,https://everytime.kr/lecture/view/mock-CSE207,mock-CSE207,인공지능입문,,24년 2학기 수강자,3,기말 프로젝트와 시험이 겹쳐서 마지막이 바빴습니다
mock-CSE207-009,https://everytime.kr/lecture/view/mock-CSE207,mock-CSE207,인공지능입문,,24년 1학기 수강자,4,과제는 적당하지만 개념 복습을 안 하면 어렵습니다
mock-CSE207-010,https://everytime.kr/lecture/view/mock-CSE207,mock-CSE207,인공지능입문,,24년 1학기 수강자,3,수업은 좋고 학점은 보통이라 꾸준히 하면 됩니다
mock-CSE208-001,https://everytime.kr/lecture/view/mock-CSE208,mock-CSE208,컴퓨터네트워크,,26년 1학기 수강자,3,프로토콜 종류가 많고 시험 범위가 넓어 어렵습니다
mock-CSE208-002,https://everytime.kr/lecture/view/mock-CSE208,mock-CSE208,컴퓨터네트워크,,26년 1학기 수강자,4,과제는 많지 않지만 암기와 이해를 같이 해야 합니다
mock-CSE208-003,https://everytime.kr/lecture/view/mock-CSE208,mock-CSE208,컴퓨터네트워크,,25년 2학기 수강자,3,라우팅 파트가 헷갈리고 퀴즈가 가끔 있습니다
mock-CSE208-004,https://everytime.kr/lecture/view/mock-CSE208,mock-CSE208,컴퓨터네트워크,,25년 2학기 수강자,4,수업은 체계적이지만 시험 문제가 세세해서 준비가 필요합니다
mock-CSE208-005,https://everytime.kr/lecture/view/mock-CSE208,mock-CSE208,컴퓨터네트워크,,25년 1학기 수강자,3,과제량은 보통이고 프로젝트는 간단한 편입니다
mock-CSE208-006,https://everytime.kr/lecture/view/mock-CSE208,mock-CSE208,컴퓨터네트워크,,25년 1학기 수강자,2,개념이 많아서 벼락치기로는 따라가기 어렵습니다
mock-CSE208-007,https://everytime.kr/lecture/view/mock-CSE208,mock-CSE208,컴퓨터네트워크,,24년 2학기 수강자,4,강의 자료가 좋아서 복습하면 충분히 이해됩니다
mock-CSE208-008,https://everytime.kr/lecture/view/mock-CSE208,mock-CSE208,컴퓨터네트워크,,24년 2학기 수강자,3,중간 이후부터 난이도가 올라가고 시험도 까다롭습니다
mock-CSE208-009,https://everytime.kr/lecture/view/mock-CSE208,mock-CSE208,컴퓨터네트워크,,24년 1학기 수강자,4,실습은 적지만 내용량이 많아 꾸준히 봐야 합니다
mock-CSE208-010,https://everytime.kr/lecture/view/mock-CSE208,mock-CSE208,컴퓨터네트워크,,24년 1학기 수강자,3,성적은 평범하게 주시고 공부한 만큼 나옵니다
mock-CSE209-001,https://everytime.kr/lecture/view/mock-CSE209,mock-CSE209,확률과통계,,26년 1학기 수강자,4,예제가 많아서 따라가기는 쉽지만 계산 연습이 필요합니다
mock-CSE209-002,https://everytime.kr/lecture/view/mock-CSE209,mock-CSE209,확률과통계,,26년 1학기 수강자,3,과제는 적은 편이고 시험 준비는 문제풀이 중심입니다
mock-CSE209-003,https://everytime.kr/lecture/view/mock-CSE209,mock-CSE209,확률과통계,,25년 2학기 수강자,4,개념 설명이 친절하고 난이도는 보통 정도입니다
mock-CSE209-004,https://everytime.kr/lecture/view/mock-CSE209,mock-CSE209,확률과통계,,25년 2학기 수강자,2,수학이 약하면 확률분포 파트가 어렵게 느껴집니다
mock-CSE209-005,https://everytime.kr/lecture/view/mock-CSE209,mock-CSE209,확률과통계,,25년 1학기 수강자,5,과제 부담이 적고 시험도 수업 예제에서 많이 나옵니다
mock-CSE209-006,https://everytime.kr/lecture/view/mock-CSE209,mock-CSE209,확률과통계,,25년 1학기 수강자,3,중간 정도 난이도이고 복습만 하면 충분합니다
mock-CSE209-007,https://everytime.kr/lecture/view/mock-CSE209,mock-CSE209,확률과통계,,24년 2학기 수강자,4,퀴즈가 있지만 점검용이라 부담은 크지 않습니다
mock-CSE209-008,https://everytime.kr/lecture/view/mock-CSE209,mock-CSE209,확률과통계,,24년 2학기 수강자,4,시험 전 문제풀이를 많이 해주셔서 준비하기 좋았습니다
mock-CSE209-009,https://everytime.kr/lecture/view/mock-CSE209,mock-CSE209,확률과통계,,24년 1학기 수강자,3,통계 파트는 조금 어렵지만 과제량은 많지 않습니다
mock-CSE209-010,https://everytime.kr/lecture/view/mock-CSE209,mock-CSE209,확률과통계,,24년 1학기 수강자,5,무난한 기초 과목이고 학점도 나쁘지 않았습니다
mock-GED101-001,https://everytime.kr/lecture/view/mock-GED101,mock-GED101,교양글쓰기,,26년 1학기 수강자,5,글쓰기 과제가 있지만 피드백이 좋아서 부담은 적었습니다
mock-GED101-002,https://everytime.kr/lecture/view/mock-GED101,mock-GED101,교양글쓰기,,26년 1학기 수강자,4,발표는 없고 글 수정 위주라 난이도는 낮은 편입니다
mock-GED101-003,https://everytime.kr/lecture/view/mock-GED101,mock-GED101,교양글쓰기,,25년 2학기 수강자,4,매주 짧은 글을 내지만 시간이 많이 들지는 않습니다
mock-GED101-004,https://everytime.kr/lecture/view/mock-GED101,mock-GED101,교양글쓰기,,25년 2학기 수강자,5,교수님이 친절하고 기준도 명확해서 편하게 들었습니다
mock-GED101-005,https://everytime.kr/lecture/view/mock-GED101,mock-GED101,교양글쓰기,,25년 1학기 수강자,3,글을 싫어하면 귀찮지만 수업 난이도는 쉽습니다
mock-GED101-006,https://everytime.kr/lecture/view/mock-GED101,mock-GED101,교양글쓰기,,25년 1학기 수강자,4,중간 기말 대신 과제가 있어 꾸준히 하면 됩니다
mock-GED101-007,https://everytime.kr/lecture/view/mock-GED101,mock-GED101,교양글쓰기,,24년 2학기 수강자,5,과제 분량이 적고 피드백도 빠른 편입니다
mock-GED101-008,https://everytime.kr/lecture/view/mock-GED101,mock-GED101,교양글쓰기,,24년 2학기 수강자,4,토론이 조금 있지만 어렵지 않고 분위기가 좋습니다
mock-GED101-009,https://everytime.kr/lecture/view/mock-GED101,mock-GED101,교양글쓰기,,24년 1학기 수강자,5,성적 기준이 투명하고 부담 없이 들을 수 있습니다
mock-GED101-010,https://everytime.kr/lecture/view/mock-GED101,mock-GED101,교양글쓰기,,24년 1학기 수강자,4,짧은 에세이 위주라 과제량은 보통 이하입니다
mock-GED102-001,https://everytime.kr/lecture/view/mock-GED102,mock-GED102,창의적사고와표현,,26년 1학기 수강자,5,활동 중심 수업이고 시험 부담이 거의 없습니다
mock-GED102-002,https://everytime.kr/lecture/view/mock-GED102,mock-GED102,창의적사고와표현,,26년 1학기 수강자,4,팀 활동은 있지만 짧게 끝나서 과제량은 적습니다
mock-GED102-003,https://everytime.kr/lecture/view/mock-GED102,mock-GED102,창의적사고와표현,,25년 2학기 수강자,5,발표 한 번 외에는 크게 어려운 부분이 없었습니다
mock-GED102-004,https://everytime.kr/lecture/view/mock-GED102,mock-GED102,창의적사고와표현,,25년 2학기 수강자,4,수업 참여만 잘하면 무난하게 따라갈 수 있습니다
mock-GED102-005,https://everytime.kr/lecture/view/mock-GED102,mock-GED102,창의적사고와표현,,25년 1학기 수강자,5,과제도 가볍고 분위기가 편해서 추천합니다
mock-GED102-006,https://everytime.kr/lecture/view/mock-GED102,mock-GED102,창의적사고와표현,,25년 1학기 수강자,4,창의 활동이 많지만 난이도는 낮고 재미있었습니다
mock-GED102-007,https://everytime.kr/lecture/view/mock-GED102,mock-GED102,창의적사고와표현,,24년 2학기 수강자,3,조별 활동을 싫어하면 조금 귀찮을 수 있습니다
mock-GED102-008,https://everytime.kr/lecture/view/mock-GED102,mock-GED102,창의적사고와표현,,24년 2학기 수강자,5,시험이 없고 제출물도 간단해서 부담이 낮습니다
mock-GED102-009,https://everytime.kr/lecture/view/mock-GED102,mock-GED102,창의적사고와표현,,24년 1학기 수강자,4,출석과 참여가 중요하고 과제는 어렵지 않습니다
mock-GED102-010,https://everytime.kr/lecture/view/mock-GED102,mock-GED102,창의적사고와표현,,24년 1학기 수강자,5,가볍게 듣기 좋은 교양이고 성적도 무난합니다
mock-MATH201-001,https://everytime.kr/lecture/view/mock-MATH201,mock-MATH201,선형대수,,26년 1학기 수강자,3,증명과 계산이 함께 나와서 수학이 약하면 어렵습니다
mock-MATH201-002,https://everytime.kr/lecture/view/mock-MATH201,mock-MATH201,선형대수,,26년 1학기 수강자,4,과제는 적지만 개념 이해에 시간이 오래 걸립니다
mock-MATH201-003,https://everytime.kr/lecture/view/mock-MATH201,mock-MATH201,선형대수,,25년 2학기 수강자,2,벡터공간부터 갑자기 어려워지고 시험도 빡셉니다
mock-MATH201-004,https://everytime.kr/lecture/view/mock-MATH201,mock-MATH201,선형대수,,25년 2학기 수강자,3,계산 문제는 할만하지만 증명 문제가 까다롭습니다
mock-MATH201-005,https://everytime.kr/lecture/view/mock-MATH201,mock-MATH201,선형대수,,25년 1학기 수강자,4,강의는 좋고 과제량은 보통이지만 복습이 필수입니다
mock-MATH201-006,https://everytime.kr/lecture/view/mock-MATH201,mock-MATH201,선형대수,,25년 1학기 수강자,3,중간 난이도지만 기말 범위가 넓어서 준비가 필요합니다
mock-MATH201-007,https://everytime.kr/lecture/view/mock-MATH201,mock-MATH201,선형대수,,24년 2학기 수강자,4,문제풀이를 꾸준히 하면 따라갈 수 있지만 쉽지는 않습니다
mock-MATH201-008,https://everytime.kr/lecture/view/mock-MATH201,mock-MATH201,선형대수,,24년 2학기 수강자,2,수학 감각이 없으면 내용이 빠르게 느껴지고 힘듭니다
mock-MATH201-009,https://everytime.kr/lecture/view/mock-MATH201,mock-MATH201,선형대수,,24년 1학기 수강자,4,과제는 많지 않지만 시험이 생각보다 어렵습니다
mock-MATH201-010,https://everytime.kr/lecture/view/mock-MATH201,mock-MATH201,선형대수,,24년 1학기 수강자,3,기초를 다시 잡기 좋지만 꾸준한 연습이 필요합니다
